r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu
1,0,0,409440,6652,53228,0,0,0,0,1194,370,0,61,39,0,0,0
1,0,0,409252,6652,53228,0,0,0,0,1208,385,0,63,37,0,0,0
1,0,0,408224,6660,53232,0,0,0,16,1164,411,0,60,39,1,0,0
1,0,0,409148,6660,53232,0,0,0,0,1197,369,0,62,38,0,0,0
2,0,0,408816,6668,53236,0,0,0,20,1189,371,0,62,37,1,0,0
8,0,0,409824,6668,53236,0,0,0,0,1251,384,0,64,36,0,0,0
1,0,0,408640,6668,53240,0,0,0,0,1221,344,0,63,37,0,0,0
7,0,0,408812,6676,53240,0,0,0,16,1263,377,0,63,36,0,0,0
1,0,0,409044,6676,53244,0,0,0,0,1226,365,0,64,36,0,0,0
1,0,0,409336,6684,53244,0,0,0,16,1205,363,0,63,37,1,0,0
1,0,0,408880,6684,53248,0,0,0,0,1243,395,0,64,36,0,0,0
1,0,0,409372,6684,53248,0,0,0,0,1288,345,0,67,33,0,0,0
1,0,0,409180,6692,53252,0,0,0,16,1254,337,0,63,37,0,0,0
1,0,0,409404,6692,53256,0,0,0,0,1230,360,0,65,35,0,0,0
1,0,0,408864,6700,53260,0,0,0,12,1277,358,0,69,30,1,0,0
8,0,0,409724,6700,53260,0,0,0,0,1207,338,0,62,38,0,0,0
1,0,0,409284,6700,53264,0,0,0,0,1150,340,0,54,46,0,0,0
1,0,0,408632,6708,53264,0,0,0,6,1232,371,0,61,38,1,0,0
1,0,0,409656,6708,53268,0,0,0,0,1226,371,0,60,40,0,0,0
0,0,0,410216,6708,53268,0,0,0,0,1255,344,0,59,41,0,0,0
1,0,0,409796,6716,53272,0,0,0,6,1127,324,0,54,46,0,0,0
1,0,0,409736,6716,53272,0,0,0,0,1323,330,0,64,36,0,0,0
1,0,0,409708,6724,53276,0,0,0,6,1254,348,0,65,35,1,0,0
1,0,0,409192,6724,53276,0,0,0,0,1248,354,0,63,36,0,0,0
7,0,0,409712,6724,53280,0,0,0,0,1292,315,0,64,36,0,0,0
1,0,0,409832,6732,53280,0,0,0,6,1262,337,0,62,37,1,0,0
1,0,0,410024,6732,53284,0,0,0,0,1298,280,0,57,43,0,0,0
2,0,0,409336,6740,53284,0,0,0,30,1256,331,0,60,39,1,0,0
1,0,0,408616,6740,53288,0,0,0,0,1160,343,0,60,39,0,0,0
1,0,0,409144,6740,53288,0,0,0,0,1248,323,0,66,34,0,0,0
1,0,0,409368,6748,53292,0,0,0,12,1303,361,0,69,31,1,0,0
8,0,0,409344,6748,53292,0,0,0,0,1252,379,0,65,35,0,0,0
1,0,0,408640,6748,53296,0,0,0,6,1245,363,0,66,34,0,0,0
1,0,0,408060,6756,53296,0,0,0,12,1188,334,0,64,36,1,0,0
5,0,0,409460,6756,53300,0,0,0,0,1262,390,0,64,36,0,0,0
1,0,0,409320,6764,53300,0,0,0,18,1213,377,0,63,37,0,0,0
1,0,0,409208,6764,53304,0,0,0,0,1284,334,0,65,35,0,0,0
2,0,0,409184,6764,53304,0,0,0,0,1250,336,0,66,34,0,0,0
0,0,0,408996,6772,53312,0,0,0,16,1150,335,0,50,49,1,0,0
1,0,0,409800,6772,53312,0,0,0,0,1134,294,0,48,52,0,0,0
5,0,0,409540,6780,53316,0,0,0,18,1320,320,0,63,37,1,0,0
1,0,0,407876,6780,53316,0,0,0,0,1250,368,0,65,35,0,0,0
1,0,0,409196,6780,53320,0,0,0,0,1294,337,0,67,32,0,0,0
5,0,0,409504,6788,53320,0,0,0,16,1322,343,0,68,32,0,0,0
7,0,0,409564,6788,53324,0,0,0,0,1350,318,0,66,34,0,0,0
1,0,0,409416,6788,53324,0,0,0,4,1218,352,0,61,39,0,0,0
1,0,0,409012,6796,53328,0,0,0,12,1302,324,0,64,35,1,0,0
0,0,0,409932,6796,53328,0,0,0,0,1235,348,0,59,41,0,0,0
3,0,0,409836,6796,53332,0,0,0,4,1151,293,0,50,50,0,0,0
7,0,0,406792,6804,55632,0,0,1148,12,1315,384,0,62,36,1,0,0
7,0,0,406896,6804,55880,0,0,122,0,1208,374,0,62,38,0,0,0
4,0,0,406412,6812,55880,0,0,0,18,1275,376,0,64,35,1,0,0
1,0,0,406124,6812,55884,0,0,0,0,1205,340,0,62,38,0,0,0
1,0,0,404976,6812,55884,0,0,0,4,1199,372,0,61,39,0,0,0
7,0,0,405340,6820,55888,0,0,0,12,1238,317,0,65,35,0,0,0
1,0,0,406208,6820,55888,0,0,0,0,1231,356,0,65,35,0,0,0
1,0,0,405060,6828,55884,0,0,0,16,1249,364,0,65,34,1,0,0
1,0,0,406280,6828,55892,0,0,0,0,1243,385,0,63,37,0,0,0
2,0,0,405468,6828,55900,0,0,0,6,1209,356,0,64,36,0,0,0
1,0,0,405876,6836,55900,0,0,0,12,1188,358,0,62,37,1,0,0
7,0,0,406380,6836,55904,0,0,0,0,1223,348,0,63,37,0,0,0
1,0,0,406252,6836,55904,0,0,0,4,1181,331,0,63,37,0,0,0
11,0,0,406576,6844,55908,0,0,0,12,1265,370,0,65,34,1,0,0
7,0,0,406048,6844,55908,0,0,0,0,1334,343,0,70,30,0,0,0
1,0,0,406196,6852,55912,0,0,0,6,1258,402,0,65,35,0,0,0
1,0,0,406132,6852,55912,0,0,0,0,1336,350,0,68,32,0,0,0
1,0,0,406000,6852,55916,0,0,0,0,1237,306,0,67,33,0,0,0
1,0,0,405980,6860,55916,0,0,0,6,1188,380,0,61,38,0,0,0
1,0,0,405916,6860,55916,0,0,0,0,1168,306,0,63,37,0,0,0
2,0,0,406008,6868,55920,0,0,0,6,1206,357,0,64,36,1,0,0
2,0,0,406020,6868,55920,0,0,0,0,1177,382,0,62,38,0,0,0
1,0,0,404464,6868,55924,0,0,0,0,1234,365,0,65,35,0,0,0
1,0,0,406284,6876,55924,0,0,0,6,1265,325,0,66,33,1,0,0
1,0,0,406096,6876,55928,0,0,0,0,1269,334,0,67,33,0,0,0
1,0,0,405848,6884,55928,0,0,0,6,1180,345,0,62,37,1,0,0
1,0,0,406008,6884,55932,0,0,0,0,1182,322,0,63,37,0,0,0
7,0,0,406416,6884,55932,0,0,0,16,1149,357,0,60,40,0,0,0
11,0,0,406824,6892,55932,0,0,0,12,1153,342,0,62,38,1,0,0
9,0,0,406096,6892,55936,0,0,0,0,1199,345,0,63,36,0,0,0
1,0,0,405752,6892,55936,0,0,0,6,1224,338,0,66,34,0,0,0
2,0,0,405672,6900,55940,0,0,0,6,1176,306,0,61,38,1,0,0
1,0,0,406504,6900,55940,0,0,0,6,1285,371,0,67,33,0,0,0
1,0,0,406040,6908,55944,0,0,0,12,1287,365,0,65,34,1,0,0
1,0,0,406172,6908,55944,0,0,0,0,1233,347,0,66,34,0,0,0
7,0,0,406392,6908,55948,0,0,0,4,1280,379,0,65,34,0,0,0
3,0,0,405716,6916,55948,0,0,0,12,1201,351,0,62,37,1,0,0
1,0,0,405980,6916,55948,0,0,0,4,1178,336,0,63,37,0,0,0
8,0,0,406284,6924,55952,0,0,0,12,1208,370,0,62,38,1,0,0
8,0,0,406592,6924,55952,0,0,0,0,1324,372,0,67,33,0,0,0
1,0,0,405800,6924,55956,0,0,0,6,1136,407,0,59,41,0,0,0
10,0,0,405504,6932,55960,0,0,0,12,1247,336,0,65,34,1,0,0
