Timestamp,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Zswap,Zswapped,Dirty,Writeback,AnonPages,Mapped,Shmem,KReclaimable,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,SecPageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,FileHugePages,FilePmdMapped,CmaTotal,CmaFree,Unaccepted,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,Hugetlb,DirectMap4k,DirectMap2M,DirectMap1G
1699520637,7419132,3197824,4059876,19440,1043104,75172,1735468,1034160,1340592,417248,394876,616912,32,32,4194300,2437520,398820,1741372,72,0,1704308,664412,50324,135588,331060,135588,195472,18976,50016,0,0,0,0,7903864,13295680,34359738367,91808,0,12288,0,849920,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520638,7419132,3321636,4177652,19448,1036556,80560,1585900,1036124,1206928,409344,378972,626780,32,32,4194300,2440372,399384,1738296,72,0,1561144,662236,50324,135588,331056,135588,195468,18912,50316,0,0,0,0,7903864,13296432,34359738367,91824,0,12288,0,700416,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520639,7419132,3236932,4093676,20768,1036096,79640,1700112,1014324,1290736,417188,409376,597136,32,32,4194300,2443956,398816,1734892,88,0,1654060,663204,50332,135524,331276,135524,195752,18992,50624,0,0,0,0,7903864,13226232,34359738367,91792,0,12288,0,788480,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520640,7419132,3231848,4089544,20768,1037328,79636,1700448,1006680,1292316,407332,408132,599348,32,32,4194300,2439724,399236,1739032,88,0,1645836,665060,50332,135492,330988,135492,195496,18928,50464,0,0,0,0,7903864,13296344,34359738367,91808,0,12288,0,788480,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520641,7419132,3183008,4037024,21000,1033580,80960,1691136,1075888,1315220,447988,375916,627900,32,32,4194300,2442308,398872,1736360,132,0,1709132,663328,50332,135460,330948,135460,195488,18896,50328,0,0,0,0,7903864,13298212,34359738367,91824,0,12288,0,851968,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520643,7419132,3229248,4082264,21000,1032280,80644,1671076,1052864,1283716,437408,387360,615456,32,32,4194300,2444176,398664,1734504,132,0,1666744,659568,50348,135460,330948,135460,195488,18984,50764,0,0,0,0,7903864,13296584,34359738367,91712,0,12288,0,808960,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520644,7419132,3237592,4093184,21120,1034928,78820,1655464,1049788,1282536,417308,372928,632480,32,32,4194300,2443556,398176,1735416,168,0,1646652,665516,50348,135428,330932,135428,195504,18928,50508,0,0,0,0,7903864,13296576,34359738367,91760,0,12288,0,792576,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520645,7419132,3199508,4005300,21120,985512,135412,1652744,1093064,1330848,459352,321896,633712,32,32,4194300,2430944,398528,1748036,7336,0,1736092,624644,50348,135428,330968,135428,195540,18912,50552,0,0,0,0,7903864,13296576,34359738367,91744,0,12288,0,829440,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520646,7419132,3228392,3984468,21120,935616,198732,1682324,1046100,1370260,452272,312064,593828,32,32,4194300,2408776,400584,1769904,4772,3124,1767884,600740,50348,135428,331216,135428,195788,18912,50316,0,0,0,0,7903864,13315900,34359738367,91728,0,12288,0,817152,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520647,7419132,3323516,4049668,21120,905436,234332,1551084,1055172,1255408,474880,295676,580292,32,32,4194300,2399284,403388,1779628,1304,268,1675940,574416,50384,135428,331184,135428,195756,18952,50132,0,0,0,0,7903864,13295648,34359738367,91808,0,12288,0,698368,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
